,S1-M1,S2-M17,S3-M33,S4-M49
Dm:,6.82228403363589,8.48953829861106,7.85104320815836,8.7338196067786
Td:,24.603683930318176,25.05726767698924,24.141035702159904,24.186696231629615
Tc:,31.537857446145594,28.096233861841363,25.563314094400027,26.214928347296176
Ts:,169.2836065988806,167.04612988108158,156.9290363189475,161.97582515491564
Tr:,129.99587128486417,132.8528809069207,125.87715249298152,129.3858080396671
P1:,56.14154137646377,53.153501538830604,49.70434979655993,50.40162457892579
P2:,0.4318717265522917,0.40009295376944803,0.3948639511791568,0.38954523175736294
P3:,0.10936742169402563,0.1437456469950192,0.14215936666033124,0.15595603736525965
RDD Max:,0.201461525441257,0.27972464838075406,0.29444398202155453,0.3140395272533365
RDD Min:,-0.07788564642398033,-0.1068975751394845,-0.11566965387581973,-0.11306434649132768
RDD Peak to Peak:,0.27934717186523733,0.38662222352023856,0.41011363589737426,0.4271038737446642
RDD Max Time:,38.3859649122807,39.416040100250626,38.10526315789474,38.00501253132832
RDD Min Time:,78.96491228070175,72.39598997493735,68.46616541353383,69.01503759398496
Max to Min Time:,40.578947368421055,32.979949874686724,30.36090225563909,31.010025062656638
