,S1-M1,S2-M17,S3-M33,S4-M49
Dm:,6.08886923618452,9.87793880429382,8.46105468665922,7.75067234781542
Td:,21.416481929335173,22.136150586850917,22.215490745061636,21.19005568355733
Tc:,28.090292437405754,26.179542647804112,24.939122664831075,24.587112967647567
Ts:,197.54890964554284,166.78507743449723,157.85571587613626,190.58355332706012
Tr:,159.52110695387836,128.44911312492297,120.82239323989396,151.95618778503123
P1:,49.50677436674093,48.31569323465503,47.15461340989271,45.777168651204896
P2:,0.3103462313677061,0.37614656932403795,0.3902804119784881,0.3012524157026416
P3:,0.11069156459216957,0.18400118737172277,0.16148895446984482,0.15238175095938952
RDD Max:,0.21606448548735374,0.36616803420440147,0.3318397683547255,0.30528820643370336
RDD Min:,-0.08561706185143336,-0.12516270557481235,-0.10939356791488208,-0.07872037360084327
RDD Peak to Peak:,0.3016815473387871,0.4913307397792138,0.4412333362696076,0.38400858003454663
RDD Max Time:,31.573934837092732,34.446115288220554,33.67418546365915,32.794486215538846
RDD Min Time:,73.50375939849624,75.80451127819549,73.94486215538848,72.92481203007519
Max to Min Time:,41.92982456140351,41.35839598997494,40.27067669172933,40.13032581453634
